ip_range,crawler_name,is_legitimate_bot,organization,purpose
66.249.64.0/19,Googlebot,true,Google,Search_Engine
157.55.39.0/24,Bingbot,true,Microsoft,Search_Engine
199.16.156.0/22,Twitterbot,true,Twitter,Social_Media
69.63.176.0/20,Facebookbot,true,Facebook,Social_Media
198.204.247.0/24,LinkedInBot,true,LinkedIn,Social_Media
180.76.15.0/24,Baiduspider,true,Baidu,Search_Engine
213.180.203.0/24,YandexBot,true,Yandex,Search_Engine
54.36.148.0/22,AhrefsBot,false,Ahrefs,SEO_Tool
165.227.0.0/16,SemrushBot,false,Semrush,SEO_Tool
192.241.0.0/16,MJ12bot,false,Majestic,SEO_Tool
5.9.0.0/16,SeekportBot,false,Seekport,SEO_Tool
185.53.4.0/22,DotBot,false,DotBot,SEO_Tool
104.131.0.0/16,PaperLiBot,false,PaperLi,Content_Aggregator
107.170.0.0/16,BLEXBot,false,BLEXBot,SEO_Tool
162.142.125.0/24,SeznamBot,false,Seznam,Search_Engine
85.17.26.0/24,TelegramBot,false,Telegram,Social_Media
208.110.70.0/24,AppleBot,true,Apple,Search_Engine
17.0.0.0/8,AppleBot,true,Apple,Search_Engine
40.77.167.0/24,MSNBot,true,Microsoft,Search_Engine
